,Agric,Food,Soda,Beer,Smoke,Toys,Fun,Books,Hshld,Clths,Hlth,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach,ElcEq,Autos,Aero,Ships,Guns,Gold,Mines,Coal,Oil,Util,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin,Other
1974-01,0.0229,0.061500000000000006,-0.054000000000000006,-0.0083,0.0301,0.08990000000000001,0.0858,-0.0101,-0.026000000000000002,0.0965,-0.0147,-0.0352,-0.022799999999999997,0.022000000000000002,0.0956,0.11460000000000001,0.057999999999999996,0.0045000000000000005,0.049100000000000005,-0.06509999999999999,-0.028399999999999998,-0.0089,0.11689999999999999,0.1045,-0.0031,0.1663,0.1117,0.0298,0.0575,-0.0765,0.0455,0.020099999999999996,0.0518,0.0053,-0.003,0.37070000000000003,0.049800000000000004,0.031200000000000002,-0.0036,0.005,0.0048,0.0552,0.0776,0.0144,0.0014000000000000002,-0.016200000000000003,0.1311,0.0083,0.0102
1974-02,0.1382,0.013999999999999999,-0.0236,-0.0174,0.018500000000000003,-0.025699999999999997,-0.0032,-0.0528,-0.0342,0.023,-0.0358,-0.0418,-0.0048,0.019299999999999998,-0.0278,-0.0027,0.044199999999999996,0.0207,0.0344,-0.028900000000000002,0.005600000000000001,-0.018000000000000002,-0.0034999999999999996,0.08960000000000001,-0.0203,0.0882,-0.0019,0.023,0.0552,-0.015600000000000001,0.0027,0.047599999999999996,-0.0143,-0.0066,-0.0124,0.016200000000000003,0.0173,-0.0034000000000000002,-0.009300000000000001,0.015600000000000001,0.0787,0.0239,0.0137,-0.04769999999999999,0.0165,-0.0219,-0.024900000000000002,0.0129,-0.01
1974-03,-0.015700000000000002,-0.015600000000000001,-0.0406,-0.022000000000000002,-0.06,0.051699999999999996,0.0361,0.0579,-0.0023,-0.0158,-0.024700000000000003,0.0518,0.0031,0.0147,0.0118,0.0292,0.0015,-0.0524,-0.026600000000000002,-0.0736,-0.0471,-0.022099999999999998,0.0015,-0.045899999999999996,-0.07919999999999999,-0.036699999999999997,0.0466,-0.0932,0.0464,-0.0341,-0.0363,-0.045899999999999996,0.0229,-0.026000000000000002,-0.0116,0.0106,-0.08560000000000001,0.019,0.017,-0.0151,-0.048499999999999995,0.0159,-0.0452,0.0373,-0.0438,-0.0453,-0.0216,-0.039900000000000005,-0.030600000000000002
1974-04,-0.0926,-0.0265,-0.0415,-0.0366,-0.0277,-0.07490000000000001,-0.0796,-0.0646,-0.04190000000000001,-0.04769999999999999,-0.1225,-0.0195,-0.0126,0.0095,-0.0541,-0.009300000000000001,-0.0453,-0.0666,0.0019,-0.0711,-0.0444,-0.0404,-0.021,-0.0021,-0.1027,0.015600000000000001,-0.1226,-0.06269999999999999,0.025099999999999997,-0.0638,-0.1219,-0.053099999999999994,-0.0929,-0.09539999999999998,-0.030899999999999997,-0.1367,-0.0436,-0.049800000000000004,-0.0471,-0.0269,-0.0393,-0.0194,-0.0206,-0.0296,-0.051,-0.0919,-0.12269999999999999,-0.0684,-0.0535
1974-05,-0.0703,-0.048799999999999996,-0.0115,-0.044800000000000006,0.0559,0.023799999999999998,-0.0089,-0.013300000000000001,0.0102,-0.0691,-0.0825,0.0281,-0.0077,-0.0011,0.0014000000000000002,-0.0679,-0.08259999999999999,-0.0911,-0.0888,-0.12359999999999999,-0.0417,-0.0604,0.0242,-0.028999999999999998,-0.13369999999999999,-0.0253,-0.0855,-0.07730000000000001,-0.0818,-0.07440000000000001,-0.0489,-0.0152,-0.0832,-0.0894,-0.0521,-0.056100000000000004,-0.0161,-0.013999999999999999,-0.0647,-0.013000000000000001,-0.046900000000000004,-0.039,0.022000000000000002,-0.0305,-0.10890000000000001,-0.0882,-0.11460000000000001,-0.0998,-0.0677
1974-06,-0.1185,-0.0092,0.026000000000000002,-0.032400000000000005,-0.005,-0.08220000000000001,-0.0264,0.0147,-0.0052,-0.0304,-0.0855,-0.017,-0.0154,0.0042,-0.0002,-0.018600000000000002,-0.0466,-0.0222,0.029900000000000003,-0.0169,-0.0083,-0.07980000000000001,-0.0352,-0.0304,0.0645,-0.0176,0.0359,0.0183,-0.062,-0.0015,-0.0617,0.003,-0.1093,-0.030299999999999997,-0.0131,-0.0842,-0.0699,-0.0454,0.015300000000000001,0.023399999999999997,-0.0139,-0.0416,-0.0207,-0.07339999999999999,-0.1025,-0.0406,-0.1331,-0.0501,-0.069
1974-07,-0.0044,-0.0928,-0.2002,-0.1131,-0.0675,-0.12890000000000001,-0.1298,-0.0601,-0.13470000000000001,-0.0404,-0.031,-0.1308,-0.14400000000000002,-0.042800000000000005,-0.061399999999999996,-0.0254,-0.055,-0.1199,0.04,-0.083,-0.07,-0.078,-0.1074,-0.059699999999999996,-0.0737,-0.0329,0.212,0.0086,-0.0897,-0.0058,0.0079,-0.07629999999999999,-0.042199999999999994,-0.0722,-0.0732,-0.15289999999999998,-0.1226,-0.13019999999999998,0.0052,-0.0946,-0.0699,-0.042300000000000004,-0.1356,-0.15289999999999998,-0.0701,-0.1007,-0.0694,-0.0603,-0.0793
1974-08,-0.023700000000000002,-0.1035,-0.1419,-0.1777,-0.028900000000000002,0.0176,-0.056600000000000004,-0.1276,-0.1199,-0.050199999999999995,-0.12269999999999999,-0.11699999999999999,-0.07139999999999999,-0.10880000000000001,-0.11130000000000001,-0.0742,-0.1127,-0.023,-0.0799,-0.09939999999999999,-0.0983,-0.10619999999999999,-0.0475,-0.086,-0.1365,0.0199,-0.0762,-0.1155,-0.0131,-0.0859,-0.0862,-0.0004,-0.0681,-0.11689999999999999,-0.0521,-0.1501,-0.035699999999999996,-0.044199999999999996,-0.1066,-0.0724,-0.0965,-0.09960000000000001,-0.1404,-0.063,-0.11539999999999999,-0.1255,-0.15259999999999999,-0.1148,-0.09230000000000001
1974-09,-0.0915,-0.0719,-0.2626,-0.1673,-0.1215,-0.1844,-0.2327,-0.0707,-0.1736,-0.09759999999999999,-0.0759,-0.1464,-0.1585,-0.1016,-0.138,-0.099,-0.1175,-0.1207,-0.0814,-0.10800000000000001,-0.11869999999999999,-0.1344,-0.0929,-0.056799999999999996,-0.1383,-0.096,-0.2612,-0.0723,-0.0617,-0.0791,-0.0134,-0.0381,-0.0898,-0.0725,-0.1753,-0.039599999999999996,-0.153,-0.1797,-0.1231,-0.1483,-0.0909,-0.10619999999999999,-0.1124,-0.2048,-0.09050000000000001,-0.0425,-0.0556,-0.0683,-0.11410000000000001
1974-10,0.2023,0.1923,0.2372,0.0969,0.2254,0.08990000000000001,0.09820000000000001,0.0123,0.16649999999999998,0.0392,0.1359,0.21030000000000001,0.318,0.1791,0.0601,0.052000000000000005,0.1375,0.21710000000000002,0.0977,0.1732,0.2305,0.1776,-0.0233,0.0702,0.18899999999999997,0.0557,0.26539999999999997,0.17379999999999998,0.4606,0.2072,0.13,0.1085,0.20809999999999998,0.1539,0.16829999999999998,-0.0398,0.0888,0.1297,0.1485,0.2087,0.1902,0.1716,0.07980000000000001,0.18719999999999998,0.2506,0.26839999999999997,0.014199999999999999,0.1624,0.2122
